MODEL SOLUTION,MUTATION,INPUT 1,INPUT 2,EXPECTED RESULT,ACTUAL RESULT
ADD,mutant6,8,3,11,13
ADD,mutant4,8,3,11,0
ADD,mutant11,8,3,11,2
ADD,mutant9,8,3,11,0
ADD,mutant8,8,3,11,-11
ADD,mutant7,8,3,11,9
ADD,mutant13,8,3,11,-1
ADD,mutant15,8,3,11,2
ADD,mutant21,8,3,11,1048575
ADD,mutant16,8,3,11,0
ADD,mutant12,8,3,11,22
ADD,mutant19,8,3,11,2
ADD,mutant10,8,3,11,24
ADD,mutant14,8,3,11,576
ADD,mutant18,8,3,11,-12
ADD,mutant20,8,3,11,2072
ADD,mutant5,8,3,11,-1
ADD,mutant17,8,3,11,-3
ADD,mutant3,8,3,11,-1
ADD,mutant1,8,3,11,-1
ADD,mutant2,8,3,11,-1
ADD,mutant6,0,1,1,3
ADD,mutant4,0,1,1,-1
ADD,mutant11,0,1,1,0
ADD,mutant9,0,1,1,0
ADD,mutant8,0,1,1,-1
ADD,mutant7,0,1,1,-1
ADD,mutant13,0,1,1,-1
ADD,mutant15,0,1,1,0
ADD,mutant21,0,1,1,536870911
ADD,mutant16,0,1,1,0
ADD,mutant12,0,1,1,2
ADD,mutant19,0,1,1,0
ADD,mutant10,0,1,1,0
ADD,mutant14,0,1,1,0
ADD,mutant18,0,1,1,-2
ADD,mutant20,0,1,1,3
ADD,mutant5,0,1,1,-1
ADD,mutant17,0,1,1,-1
ADD,mutant3,0,1,1,-1
ADD,mutant1,0,1,1,-1
ADD,mutant2,0,1,1,-1
ADD,mutant6,8,3,11,13
ADD,mutant4,8,3,11,0
ADD,mutant11,8,3,11,2
ADD,mutant9,8,3,11,0
ADD,mutant8,8,3,11,-11
ADD,mutant7,8,3,11,9
ADD,mutant13,8,3,11,-1
ADD,mutant15,8,3,11,2
ADD,mutant21,8,3,11,1048575
ADD,mutant16,8,3,11,0
ADD,mutant12,8,3,11,22
ADD,mutant19,8,3,11,2
ADD,mutant10,8,3,11,24
ADD,mutant14,8,3,11,576
ADD,mutant18,8,3,11,-12
ADD,mutant20,8,3,11,2072
ADD,mutant5,8,3,11,-1
ADD,mutant17,8,3,11,-3
ADD,mutant3,8,3,11,-1
ADD,mutant1,8,3,11,-1
ADD,mutant2,8,3,11,-1
ADD,mutant6,7,2,9,11
ADD,mutant4,7,2,9,0
ADD,mutant11,7,2,9,3
ADD,mutant9,7,2,9,0
ADD,mutant8,7,2,9,-9
ADD,mutant7,7,2,9,7
ADD,mutant13,7,2,9,-1
ADD,mutant15,7,2,9,3
ADD,mutant21,7,2,9,4194303
ADD,mutant16,7,2,9,2
ADD,mutant12,7,2,9,18
ADD,mutant19,7,2,9,1
ADD,mutant10,7,2,9,14
ADD,mutant14,7,2,9,196
ADD,mutant18,7,2,9,-6
ADD,mutant20,7,2,9,904
ADD,mutant5,7,2,9,-1
ADD,mutant17,7,2,9,0
ADD,mutant3,7,2,9,-1
ADD,mutant1,7,2,9,-1
ADD,mutant2,7,2,9,-1
ADD,mutant6,9,7,16,18
ADD,mutant4,9,7,16,0
ADD,mutant11,9,7,16,1
ADD,mutant9,9,7,16,0
ADD,mutant8,9,7,16,-16
ADD,mutant7,9,7,16,14
ADD,mutant13,9,7,16,-1
ADD,mutant15,9,7,16,1
ADD,mutant21,9,7,16,32767
ADD,mutant16,9,7,16,1
ADD,mutant12,9,7,16,32
ADD,mutant19,9,7,16,2
ADD,mutant10,9,7,16,63
ADD,mutant14,9,7,16,3969
ADD,mutant18,9,7,16,-15
ADD,mutant20,9,7,16,5504
ADD,mutant5,9,7,16,-1
ADD,mutant17,9,7,16,-6
ADD,mutant3,9,7,16,-1
ADD,mutant1,9,7,16,-1
ADD,mutant2,9,7,16,-1
ADD,mutant6,6,7,13,15
ADD,mutant4,6,7,13,0
ADD,mutant11,6,7,13,0
ADD,mutant9,6,7,13,0
ADD,mutant8,6,7,13,-13
ADD,mutant7,6,7,13,11
ADD,mutant13,6,7,13,-1
ADD,mutant15,6,7,13,0
ADD,mutant21,6,7,13,262143
ADD,mutant16,6,7,13,6
ADD,mutant12,6,7,13,26
ADD,mutant19,6,7,13,6
ADD,mutant10,6,7,13,42
ADD,mutant14,6,7,13,1764
